2020-02-08 22:29:55,379 |    pack.madgraph.run |   INFO | b'INFO: Trying process: c d > c d WEIGHTED<=2 @1'
2020-02-08 22:29:55,381 |    pack.madgraph.run |   INFO | b'INFO: Process has 1 diagrams'
2020-02-08 22:29:55,382 |    pack.madgraph.run |   INFO | b'INFO: Trying process: c d > c s WEIGHTED<=2 @1'
2020-02-08 22:29:55,387 |    pack.madgraph.run |   INFO | b'INFO: Trying process: c s > u d WEIGHTED<=2 @1'
2020-02-08 22:29:55,388 |    pack.madgraph.run |   INFO | b'INFO: Trying process: c s > u s WEIGHTED<=2 @1'
2020-02-08 22:29:55,390 |    pack.madgraph.run |   INFO | b'INFO: Trying process: c s > c d WEIGHTED<=2 @1'
2020-02-08 22:29:55,392 |    pack.madgraph.run |   INFO | b'INFO: Trying process: c s > c s WEIGHTED<=2 @1'
2020-02-08 22:29:55,394 |    pack.madgraph.run |   INFO | b'INFO: Process has 1 diagrams'
2020-02-08 22:29:55,400 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for c u~ > c u~, reuse diagrams.'
2020-02-08 22:29:55,403 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for c c~ > g g, reuse diagrams.'
2020-02-08 22:29:55,405 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for c c~ > u u~, reuse diagrams.'
2020-02-08 22:29:55,407 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for c c~ > c c~, reuse diagrams.'
2020-02-08 22:29:55,408 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for c c~ > d d~, reuse diagrams.'
2020-02-08 22:29:55,409 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for c c~ > s s~, reuse diagrams.'
2020-02-08 22:29:55,412 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for c d~ > c d~, reuse diagrams.'
2020-02-08 22:29:55,415 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for c s~ > c s~, reuse diagrams.'
2020-02-08 22:29:55,417 |    pack.madgraph.run |   INFO | b'INFO: Process d g > g d added to mirror process g d > g d'
2020-02-08 22:29:55,420 |    pack.madgraph.run |   INFO | b'INFO: Process d u > u d added to mirror process u d > u d'
2020-02-08 22:29:55,423 |    pack.madgraph.run |   INFO | b'INFO: Process d c > c d added to mirror process c d > c d'
2020-02-08 22:29:55,428 |    pack.madgraph.run |   INFO | b'INFO: Trying process: d d > d d WEIGHTED<=2 @1'
2020-02-08 22:29:55,431 |    pack.madgraph.run |   INFO | b'INFO: Process has 2 diagrams'
2020-02-08 22:29:55,432 |    pack.madgraph.run |   INFO | b'INFO: Trying process: d d > d s WEIGHTED<=2 @1'
2020-02-08 22:29:55,434 |    pack.madgraph.run |   INFO | b'INFO: Trying process: d d > s s WEIGHTED<=2 @1'
2020-02-08 22:29:55,439 |    pack.madgraph.run |   INFO | b'INFO: Trying process: d s > d d WEIGHTED<=2 @1'
2020-02-08 22:29:55,441 |    pack.madgraph.run |   INFO | b'INFO: Trying process: d s > d s WEIGHTED<=2 @1'
2020-02-08 22:29:55,443 |    pack.madgraph.run |   INFO | b'INFO: Process has 1 diagrams'
2020-02-08 22:29:55,444 |    pack.madgraph.run |   INFO | b'INFO: Trying process: d s > s s WEIGHTED<=2 @1'
2020-02-08 22:29:55,450 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for d u~ > d u~, reuse diagrams.'
2020-02-08 22:29:55,454 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for d c~ > d c~, reuse diagrams.'
2020-02-08 22:29:55,457 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for d d~ > g g, reuse diagrams.'
2020-02-08 22:29:55,458 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for d d~ > u u~, reuse diagrams.'
2020-02-08 22:29:55,459 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for d d~ > c c~, reuse diagrams.'
2020-02-08 22:29:55,461 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for d d~ > d d~, reuse diagrams.'
2020-02-08 22:29:55,462 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for d d~ > s s~, reuse diagrams.'
2020-02-08 22:29:55,465 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for d s~ > d s~, reuse diagrams.'
2020-02-08 22:29:55,467 |    pack.madgraph.run |   INFO | b'INFO: Process s g > g s added to mirror process g s > g s'
2020-02-08 22:29:55,470 |    pack.madgraph.run |   INFO | b'INFO: Process s u > u s added to mirror process u s > u s'
2020-02-08 22:29:55,473 |    pack.madgraph.run |   INFO | b'INFO: Process s c > c s added to mirror process c s > c s'
2020-02-08 22:29:55,476 |    pack.madgraph.run |   INFO | b'INFO: Process s d > d s added to mirror process d s > d s'
2020-02-08 22:29:55,480 |    pack.madgraph.run |   INFO | b'INFO: Trying process: s s > d d WEIGHTED<=2 @1'
2020-02-08 22:29:55,481 |    pack.madgraph.run |   INFO | b'INFO: Trying process: s s > d s WEIGHTED<=2 @1'
2020-02-08 22:29:55,484 |    pack.madgraph.run |   INFO | b'INFO: Trying process: s s > s s WEIGHTED<=2 @1'
2020-02-08 22:29:55,487 |    pack.madgraph.run |   INFO | b'INFO: Process has 2 diagrams'
2020-02-08 22:29:55,492 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for s u~ > s u~, reuse diagrams.'
2020-02-08 22:29:55,496 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for s c~ > s c~, reuse diagrams.'
2020-02-08 22:29:55,500 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for s d~ > s d~, reuse diagrams.'
2020-02-08 22:29:55,502 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for s s~ > g g, reuse diagrams.'
2020-02-08 22:29:55,503 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for s s~ > u u~, reuse diagrams.'
2020-02-08 22:29:55,504 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for s s~ > c c~, reuse diagrams.'
2020-02-08 22:29:55,506 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for s s~ > d d~, reuse diagrams.'
2020-02-08 22:29:55,507 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for s s~ > s s~, reuse diagrams.'
2020-02-08 22:29:55,508 |    pack.madgraph.run |   INFO | b'INFO: Process u~ g > g u~ added to mirror process g u~ > g u~'
2020-02-08 22:29:55,511 |    pack.madgraph.run |   INFO | b'INFO: Process u~ u > g g added to mirror process u u~ > g g'
2020-02-08 22:29:55,512 |    pack.madgraph.run |   INFO | b'INFO: Process u~ u > u u~ added to mirror process u u~ > u u~'
2020-02-08 22:29:55,513 |    pack.madgraph.run |   INFO | b'INFO: Process u~ u > c c~ added to mirror process u u~ > c c~'
2020-02-08 22:29:55,514 |    pack.madgraph.run |   INFO | b'INFO: Process u~ u > d d~ added to mirror process u u~ > d d~'
2020-02-08 22:29:55,515 |    pack.madgraph.run |   INFO | b'INFO: Process u~ u > s s~ added to mirror process u u~ > s s~'
2020-02-08 22:29:55,517 |    pack.madgraph.run |   INFO | b'INFO: Process u~ c > c u~ added to mirror process c u~ > c u~'
2020-02-08 22:29:55,520 |    pack.madgraph.run |   INFO | b'INFO: Process u~ d > d u~ added to mirror process d u~ > d u~'
2020-02-08 22:29:55,523 |    pack.madgraph.run |   INFO | b'INFO: Process u~ s > s u~ added to mirror process s u~ > s u~'
2020-02-08 22:29:55,528 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for u~ u~ > u~ u~, reuse diagrams.'
2020-02-08 22:29:55,531 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for u~ c~ > u~ c~, reuse diagrams.'
2020-02-08 22:29:55,535 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for u~ d~ > u~ d~, reuse diagrams.'
2020-02-08 22:29:55,539 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for u~ s~ > u~ s~, reuse diagrams.'
2020-02-08 22:29:55,540 |    pack.madgraph.run |   INFO | b'INFO: Process c~ g > g c~ added to mirror process g c~ > g c~'
2020-02-08 22:29:55,543 |    pack.madgraph.run |   INFO | b'INFO: Process c~ u > u c~ added to mirror process u c~ > u c~'
2020-02-08 22:29:55,545 |    pack.madgraph.run |   INFO | b'INFO: Process c~ c > g g added to mirror process c c~ > g g'
2020-02-08 22:29:55,547 |    pack.madgraph.run |   INFO | b'INFO: Process c~ c > u u~ added to mirror process c c~ > u u~'
2020-02-08 22:29:55,548 |    pack.madgraph.run |   INFO | b'INFO: Process c~ c > c c~ added to mirror process c c~ > c c~'
2020-02-08 22:29:55,549 |    pack.madgraph.run |   INFO | b'INFO: Process c~ c > d d~ added to mirror process c c~ > d d~'
